Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,TAKA,??? : 이래도 우리 뽑아주냐? ㅋㅋ??? : 아 아니네;;,1주 전,채널A 뉴스,2.6천,56,7
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,겨울호떡,전지현 변호사 찐텐으로 화나셨네ㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,8
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,join so,20~30+60대가 하나로 결집하는 날이 올줄이야ㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,40
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,H취화선,당신들이 잘해서 승리 한것이 아닙니다.누군가 잘 못했기 때문입니다.승리로 자만하지 않았음 좋겠습니다.감사합니다.,2주 전,채널A 뉴스,2.6천,56,28
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,jkjkj iok,참나 남자 대부분은 성희롱 안한다 혹시나 했다가 무슨일날까봐 지하철도 손들고 타는데 ㅡㅡ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ참나 지들이 그렇게 사랑하는 더듬어당이 ㅅㅂ 무슨 성은개뿔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,250
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,문재앙보유국가,세상 누구보다 깨끗한척 했으나 까보니 더한 ㅅㅋ들이었다,1주 전,채널A 뉴스,2.6천,56,16
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Matthew,서울 사는 20대 여성 너네도 소름이다ㄷㄷ,2주 전,채널A 뉴스,2.6천,56,12
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,권혁래,"딱 한마디로 요약하면 2010년대,2020년대 20대 남자들이 1980년대,1990년대 20대들을 심판했다",2주 전,채널A 뉴스,2.6천,56,35
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,이현승,고딩때 태극기부대보면서 그쪽으로 개인적인 거부감이 심했는데 인격형성 시기에 생긴 거부감을 균형을 맞춰 주셔서 감사합니다 덕분에 정책 자체의 칭찬과 비판을 하는 곳들을 찾아보게되었습니다그래서 칭찬하는곳을 아직 못찾았는데 추천좀,1주 전,채널A 뉴스,2.6천,56,8
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Many Ramirez,진봉이 부들부들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,102
