Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,유권덕,"●이번 선거는 ‘능력’과 ‘무능력’의 대결입니다.●이번 선거는 ‘진심’과 ‘거짓’의 대결입니다.●이번 선거는 ‘과거’와 ‘미래’의 대결입니다. ●서울시 대전환을 이뤄낼 능력있는 후보 박영선을 선택해 주십시오.●서울을 빚더미에 앉게 했던 무능력한 후보 오세훈 가운데 서울의 미래를 위해 어떤 선택을 해야 할지는 명확합니다. ●오직 부산의 미래를 위해 스스로 가시밭길에 뛰어든 김영춘 후보의 ‘진심’을 선택해 주십시오.●거짓을 거짓으로 덮고, 수많은 의혹이 제기된 박형준 후보에게 부산의 미래를 맡길 수 없습니다.",2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,황복규,여기가공작소인가주진우 비자금몇백조  찿았나?,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,신장식,택수 말 믿음이 안가네왜일까?,2주 전,KBS 1라디오,1천,55,6
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,이강모,부동산 문제가 어떻게 박영선이 책임인가...오새훈.박원순 에게 물어야지...오하려 박영선이 시장돠면 해결할것 아닌가...,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,신장식,"lct, ,,내곡동 거짓말이 최대 변수^^택수 논평 너무 떨어진다치우친 여롡조사 누가 믿을까끋나고 봅시다택수형 아웃",2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,황정애,이택수씨 여론과 다르게 나오면 어떻게 책임질건가요?,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,디노,유시민의 해박한 평론이 그리워요~^^,2주 전,KBS 1라디오,1천,55,4
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,나나,택수님..차라리 국힘당 대변인을 하세요. 뭔 전문가가...에유,2주 전,KBS 1라디오,1천,55,7
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,WIRLESS CALLER,좌파들 나발부네.  잘못 들어왔네.,2주 전,KBS 1라디오,1천,55,4
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,서동운,부동산땜에열받았다는계층이 부동산에문제많은것들한테는 표를줘? 기도안찬다,2주 전,KBS 1라디오,1천,55,13
